2026-06-06 18:03:17 | STORE START | POST recibido
2026-06-06 18:03:17 | DATA COLLECTED | Airline ID: 2
2026-06-06 18:03:17 | VALIDATION RESULT | Errors count: 1
2026-06-06 18:03:20 | STORE START | POST recibido
2026-06-06 18:03:20 | DATA COLLECTED | Airline ID: 2
2026-06-06 18:03:20 | VALIDATION RESULT | Errors count: 1
2026-06-06 18:03:22 | STORE START | POST recibido
2026-06-06 18:03:22 | DATA COLLECTED | Airline ID: 2
2026-06-06 18:03:22 | VALIDATION RESULT | Errors count: 1
2026-06-06 18:04:11 | STORE START | POST recibido
2026-06-06 18:04:11 | DATA COLLECTED | Airline ID: 1
2026-06-06 18:04:11 | VALIDATION RESULT | Errors count: 0
2026-06-06 18:04:11 | BEFORE INSERT | About to call model->create
2026-06-06 18:04:11 | CREATE SUCCESS | ID: 2
2026-06-09 22:55:03 | STORE START | POST recibido
2026-06-09 22:55:03 | DATA COLLECTED | Airline ID: 2
2026-06-09 22:55:03 | VALIDATION RESULT | Errors count: 0
2026-06-09 22:55:03 | BEFORE INSERT | About to call model->create
2026-06-09 22:55:03 | CREATE SUCCESS | ID: 3
